Document,Left,Term,Right
0,iré yo ahora mismo a ,casa," de la señora Marquesa, que"
0,un carro para ir a ,casa, del abastecedor en busca de
0,que se entren en tu ,casa,", y que te hagan ser"
0,Cada cual corría a su ,casa,", a la ajena o a"
0,en el portal de la ,casa, de Oñate--. ¡Y no hay
0,nos obligara a invadir una ,casa, de las que hoy deben
0,a cada instante. Invadiendo la ,casa,", la ocupamos desde el piso"
0,"perezcamos todos, y húndase mi ",casa, si bajo sus escombros ha
0,tanto los franceses asaltaban la ,casa,", mientras otros de los suyos"
0,en tanto internado en la ,casa,", y con fuerte palanca rompían"
0,donde podía pasarse a la ,casa, inmediata. Nos hablaron de la
0,contado. Cuando pasamos a la ,casa," contigua, con ánimo de tomar"
0,Dios. Habíamos pasado a una ,casa, de la calle de Postas
0,que los mamelucos invadieran aquella ,casa,. El mancebo no se separaba
0,"San Pedro la Nueva, en ",casa, de la primita? --¿Estáis locas
0,insensatos en dirección a mi ,casa,. XXVIII En nuestra carrera no
0,llegan a meterse en mi ,casa,... --¡Cuánto se asustará la pobrecita
0,No llegamos nunca a tu ,casa,"? ¿Y mi Inés, está allí"
0,demonios! ¿Cuándo llegamos a tu ,casa,"? Me aguarda, ¿no es verdad"
0,patrono. Yo salgo de la ,casa," sin contestar a nada, y"
0,y su tío en mi ,casa,. Nuestra marcha era sumamente fatigosa
0,de la Palma por la ,casa," de Aranda, los gritos de"
0,las altas ventanas de mi ,casa, entre el denso humo de
0,será fácil entrar en la ,casa,. Después de una empeñada refriega
0,subíamos la escalera de mi ,casa,", sentí el alarmante rumor de"
0,detonación terrible hizo estremecer la ,casa,. --¡Vuelven los franceses! Ese disparo
0,"Pedro la Nueva, aunque la ",casa, hacía esquina a las dos
0,Un cañonazo resonó estremeciendo la ,casa,. A Inés cayósele el vaso
0,desde otra habitación de la ,casa,. --Es la artillería francesa --gritaba
0,anciano precipitarse fuera de la ,casa,", dichas sus últimas palabras, miedo"
0,que en volver a mi ,casa,", donde suponía a Inés en"
0,con esta noticia tranquilamente a ,casa,", y al llegar a la"
0,Ya estaba cerca de mi ,casa,", cuando un hombre cruzó a"
0,de Dios-- entraron en esa ,casa, de la esquina y en
0,mano. Todos los de la ,casa, están presos. Los franceses dijeron
0,Aún dudé: subí a mi ,casa,; encontrela desierta; supe de boca
0,han sido llevados a la ,casa," de Correos. Vamos allá, Gabriel"
0,Se decía que en la ,casa, de Correos funcionaba un Tribunal
0,las puertas de la fatal ,casa, de Correos salía otra gente
0,da. Volvemos a mirar la ,casa," de Correos, tras cuyas paredes"
0,mi acompañante: pensaba dirigirme a ,casa," de la Marquesa, con viva"
0,una hora después. Fui a ,casa," de la Marquesa, y el"
0,traté de penetrar en la ,casa, de Correos. Al poco rato
0,"encontramos después aquí, en mi ",casa,". Dicho esto, nos separamos a"
0,venido aquí ni a la ,casa, de Correos. Están en la
0,Tajo. Me acordé de la ,casa, del cura; parecíame ver la
0,que estáis aquí verá la ,casa," en que nació. --Gabriel, modérate"
1,criado que fue de la ,casa," de Laín; después, empleado. VENANCIO"
1,"_Pardina_. A la derecha, la ",casa,"; al fondo, frondosa arboleda de"
1,te apures: se alojará en ,casa, del señor Alcalde. GREGORIA Menos
1,tratar de asuntos de la ,casa,?... porque de resultas de la
1,"señor, nuestro amo; en su ",casa," hemos comido, hemos trabajado... Con"
1,señor los bienes de la ,casa," de Albrit, y parte de"
1,eran de su madre. La ,casa," venía empeñada de atrás, pues"
1,"casó con esa berganta, la ",casa, empezó a hundirse... ~(Poniendo en
1,no se nos meta en ,casa,. VENANCIO Y aunque viniera... Nunca
1,Dispónese a pasar a la ,casa,.)~ VENANCIO ¿Sabes tú quién nos
1,todos los secreticos de la ,casa, en que sirvió antes de
1,marmitones y cocheros de la ,casa," de Laín, y allí no"
1,le tengas ya en tu ,casa,. GREGORIA De fijo habrá ido
1,honra tan grande como esta ,casa,. VENANCIO Tiene razón Senén. _Haiga_
1,dicho antes. ~(Entra en la ,casa,", llevándose las hortalizas.)~ VENANCIO Y"
1,donde los ricos por su ,casa," gastan, según dicen, más de"
1,comerán allí. SENÉN ¿Están en ,casa,? GREGORIA De paseo andan por
1,el campo mejor que en ,casa,. DOLLY Porque allí nos molestaban
1,haces? DOLLY ¡Si es de ,casa,", si es nuestro amigo! EL"
1,me iba muy bien en ,casa, del señor Conde de Laín
1,NELL ¿Pero va mamá a ,casa, del Alcalde? DOLLY ¿Por qué
1,y luego _lunch_ en la ,casa, Consistorial. EL CONDE Veo que
1,es de algún valor. La ,casa," Ayuntamiento, que era el primitivo"
1,hizo el hospital y la ,casa,-cuna; y yo traje las
1,Y que entre en su ,casa," con bendición. EL CONDE, ~con"
1,"No creí volver a verte, ",casa," mía, casa bendita de mis"
1,"volver a verte, casa mía, ",casa," bendita de mis mayores, de"
1,"Laín, este Condado y esta ",casa,... Yo volví a la Pardina
1,demás servidores de esta antigua ,casa,", me mirábais con respeto, con"
1,Conde viene siempre a su ,casa,", y nosotros, hoy como ayer"
1,súfreme o arrójame de mi ,casa,", quiero decir, de la tuya"
1,la lluvia. Entra en la ,casa, y en la habitación presuroso
1,se viene usted a mi ,casa,", a hacer penitencia con _este"
1,"Monedero, te vienes corriendito a ",casa,", y tendrás el honor de"
1,PRIMERA ~Sala baja en la ,casa, del señor Alcalde de Jerusa
1,y del arte casero en ,casa, rica; el servicio atropellado y
1,y los dueños de la ,casa,", los dos niños de estos"
1,feliz coincidencia! ~(Entran en la ,casa," Lucrecia, el Cura, el Alcalde"
1,Consuelo. Lucrecia está en mi ,casa,. EL CURA De todas las
1,esta señora esté en mi ,casa,", yo no tolero... CONSUELITO Claro"
1,viene a honrarse a tu ,casa,... no eres tú quien se
1,aquí el chiquitín de la ,casa,? Tú no has venido solo
